run,best_metric,best_value,best_epoch,task1_best_epoch,task1_top1,task1_top5,task1_mrr,task2_token_acc,task2_ned,task3_f1,task3_rule_attr,train_seconds,extras
m_drop15,dev_mrr,0.8718055555555554,40,40,0.7467,1.0,0.8718,0.4334,0.2339,1.0,0.69,199.73,data/generated/infineon
m_drop20,dev_mrr,0.8715277777777777,48,48,0.7467,1.0,0.8715,0.4345,0.2315,1.0,0.69,179.83,data/generated/infineon
m_real_extras_1x,dev_mrr,0.8715277777777777,50,50,0.7467,1.0,0.8715,0.4389,0.2365,1.0,0.69,182.67,data/generated/infineon
m_lr_hi,dev_mrr,0.8706944444444445,35,35,0.745,1.0,0.8707,0.4402,0.2233,1.0,0.69,199.28,data/generated/infineon
m_ls0,dev_mrr,0.8706944444444443,48,48,0.745,1.0,0.8707,0.4309,0.2271,1.0,0.69,180.98,data/generated/infineon
m_real_extras_2x,dev_mrr,0.8693055555555554,45,45,0.7417,1.0,0.8693,0.4364,0.2353,1.0,0.69,184.26,data/generated/infineon
m_ls02,dev_mrr,0.869027777777778,42,42,0.7417,1.0,0.869,0.4388,0.2347,1.0,0.69,181.17,data/generated/infineon
m_no_sched,dev_mrr,0.868611111111111,29,29,0.74,1.0,0.8686,0.446,0.2246,1.0,0.69,196.41,data/generated/infineon
m_warmup_1k,dev_mrr,0.8681944444444444,50,50,0.7417,1.0,0.8682,0.4376,0.2339,1.0,0.69,198.12,data/generated/infineon
m_real_only,dev_mrr,0.8655555555555554,50,50,0.735,1.0,0.8656,0.4409,0.2348,1.0,0.69,162.29,
m_no_ls_no_sched,dev_mrr,0.8654166666666666,45,45,0.7333,1.0,0.8654,0.4335,0.2198,1.0,0.69,178.12,data/generated/infineon
m_lr_lo,dev_mrr,0.8622222222222223,47,47,0.7283,1.0,0.8622,0.4361,0.2363,1.0,0.69,199.05,data/generated/infineon
