run,best_metric,best_value,best_epoch,task1_best_epoch,task1_top1,task1_top5,task1_mrr,task2_token_acc,task2_ned,task3_f1,task3_rule_attr,train_seconds,extras
h_mod_nosched_mrr,dev_mrr,0.8734722222222221,85,85,0.75,1.0,0.8735,0.4505,0.2261,1.0,0.69,2947.84,data/generated/infineon
f_drop15_100_mrr,dev_mrr,0.8730555555555555,84,84,0.7483,1.0,0.8731,0.4487,0.2261,1.0,0.69,2319.29,data/generated/infineon
g_drop15_t2,dev_token_acc,0.4444124298704177,90,108,0.7483,1.0,0.8722,0.4444,0.2223,1.0,0.69,2614.81,data/generated/infineon
m_drop15,dev_mrr,0.8718055555555554,40,40,0.7467,1.0,0.8718,0.4334,0.2339,1.0,0.69,199.73,data/generated/infineon
h_mod_drop12_mrr,dev_mrr,0.8716666666666667,53,53,0.7483,1.0,0.8717,0.4473,0.2292,1.0,0.69,4500.28,data/generated/infineon
m_drop20,dev_mrr,0.8715277777777777,48,48,0.7467,1.0,0.8715,0.4345,0.2315,1.0,0.69,179.83,data/generated/infineon
m_real_extras_1x,dev_mrr,0.8715277777777777,50,50,0.7467,1.0,0.8715,0.4389,0.2365,1.0,0.69,182.67,data/generated/infineon
m_lr_hi,dev_mrr,0.8706944444444445,35,35,0.745,1.0,0.8707,0.4402,0.2233,1.0,0.69,199.28,data/generated/infineon
m_ls0,dev_mrr,0.8706944444444443,48,48,0.745,1.0,0.8707,0.4309,0.2271,1.0,0.69,180.98,data/generated/infineon
f_no_sched_100_t2,dev_token_acc,0.44908338110021645,75,40,0.745,1.0,0.8704,0.4491,0.2189,1.0,0.69,1578.29,data/generated/infineon
f_extras_1x_100_mrr,dev_mrr,0.8702777777777777,84,84,0.7433,1.0,0.8703,0.4511,0.2194,1.0,0.69,2235.04,data/generated/infineon
f_extras_1x_100_t2,dev_token_acc,0.45112965706408575,65,84,0.7433,1.0,0.8703,0.4511,0.2194,1.0,0.69,2252.91,data/generated/infineon
g_drop12_mrr,dev_mrr,0.8702777777777777,112,112,0.745,1.0,0.8703,0.4488,0.241,1.0,0.69,2642.71,data/generated/infineon
m_real_extras_2x,dev_mrr,0.8693055555555554,45,45,0.7417,1.0,0.8693,0.4364,0.2353,1.0,0.69,184.26,data/generated/infineon
f_extras_1x_150_mrr,dev_mrr,0.8691666666666666,114,114,0.7433,1.0,0.8692,0.4516,0.2233,1.0,0.69,2973.32,data/generated/infineon
m_ls02,dev_mrr,0.869027777777778,42,42,0.7417,1.0,0.869,0.4388,0.2347,1.0,0.69,181.17,data/generated/infineon
f_extras_500_100_mrr,dev_mrr,0.8686111111111112,88,88,0.7383,1.0,0.8686,0.4526,0.2201,1.0,0.69,2066.75,data/generated/infineon_500
m_no_sched,dev_mrr,0.868611111111111,29,29,0.74,1.0,0.8686,0.446,0.2246,1.0,0.69,196.41,data/generated/infineon
g_drop17_mrr,dev_mrr,0.8684722222222221,97,97,0.7417,1.0,0.8685,0.4461,0.224,1.0,0.69,2638.15,data/generated/infineon
m_warmup_1k,dev_mrr,0.8681944444444444,50,50,0.7417,1.0,0.8682,0.4376,0.2339,1.0,0.69,198.12,data/generated/infineon
h_mod_drop15_120,dev_mrr,0.8672222222222221,97,97,0.74,1.0,0.8672,0.4483,0.2207,1.0,0.69,5049.16,data/generated/infineon
g_drop15_150_mrr,dev_mrr,0.8670833333333333,49,49,0.7367,1.0,0.8671,0.452,0.2163,1.0,0.69,3068.54,data/generated/infineon
g_drop15_nosched_t2,dev_token_acc,0.45451337751378657,80,54,0.7383,1.0,0.8671,0.4545,0.2269,1.0,0.69,1904.32,data/generated/infineon
h_mod_drop15_mrr,dev_mrr,0.86625,58,58,0.7367,1.0,0.8662,0.4487,0.2191,1.0,0.69,4501.77,data/generated/infineon
m_real_only,dev_mrr,0.8655555555555554,50,50,0.735,1.0,0.8656,0.4409,0.2348,1.0,0.69,162.29,
m_no_ls_no_sched,dev_mrr,0.8654166666666666,45,45,0.7333,1.0,0.8654,0.4335,0.2198,1.0,0.69,178.12,data/generated/infineon
m_lr_lo,dev_mrr,0.8622222222222223,47,47,0.7283,1.0,0.8622,0.4361,0.2363,1.0,0.69,199.05,data/generated/infineon
