SEQUENCE_ID,IS_VALID,PRIMARY_RULE,ALL_RULES
dev_anom_mosfet_seq_0967_valid,1,,
dev_anom_igbt_seq_0037_valid,1,,
dev_anom_mosfet_seq_0201_invalid,0,RULE_DEP_NO_CLEAN,RULE_DEP_NO_CLEAN;RULE_METAL_ETCH_NO_LITHO;RULE_ETCH_NO_MASK;RULE_LITHO_LEVEL_SKIP;RULE_IMPLANT_NO_MASK;RULE_CMP_NO_DEP;RULE_PAD_OPEN_BEFORE_DEP;RULE_TEST_BEFORE_PASSIVATION
dev_anom_ic_seq_0970_valid,1,,
dev_anom_igbt_seq_0749_invalid,0,RULE_METAL_ETCH_NO_LITHO,RULE_METAL_ETCH_NO_LITHO;RULE_ETCH_NO_MASK;RULE_IMPLANT_NO_MASK
dev_anom_ic_seq_0735_invalid,0,RULE_METAL_ETCH_NO_LITHO,RULE_METAL_ETCH_NO_LITHO;RULE_ETCH_NO_MASK;RULE_CMP_NO_DEP;RULE_PAD_OPEN_BEFORE_DEP;RULE_TEST_BEFORE_PASSIVATION
dev_anom_ic_seq_0885_invalid,0,RULE_SHIP_BEFORE_TEST,RULE_SHIP_BEFORE_TEST
dev_anom_ic_seq_0314_invalid,0,RULE_METAL_ETCH_NO_LITHO,RULE_METAL_ETCH_NO_LITHO;RULE_ETCH_NO_MASK;RULE_LITHO_LEVEL_SKIP;RULE_CMP_NO_DEP;RULE_PAD_OPEN_BEFORE_DEP;RULE_TEST_BEFORE_PASSIVATION
dev_anom_igbt_seq_0330_invalid,0,RULE_METAL_ETCH_NO_LITHO,RULE_METAL_ETCH_NO_LITHO;RULE_ETCH_NO_MASK;RULE_LITHO_LEVEL_SKIP;RULE_IMPLANT_NO_MASK;RULE_CMP_NO_DEP;RULE_PAD_OPEN_BEFORE_DEP
dev_anom_mosfet_seq_0308_valid,1,,
dev_anom_ic_seq_0070_valid,1,,
dev_anom_igbt_seq_0475_valid,1,,
dev_anom_mosfet_seq_0222_valid,1,,
dev_anom_igbt_seq_0301_invalid,0,RULE_METAL_ETCH_NO_LITHO,RULE_METAL_ETCH_NO_LITHO;RULE_ETCH_NO_MASK;RULE_IMPLANT_NO_MASK
dev_anom_igbt_seq_0576_valid,1,,
dev_anom_mosfet_seq_0075_invalid,0,RULE_METAL_ETCH_NO_LITHO,RULE_METAL_ETCH_NO_LITHO;RULE_ETCH_NO_MASK;RULE_IMPLANT_NO_MASK
dev_anom_ic_seq_0411_valid,1,,
dev_anom_igbt_seq_0020_invalid,0,RULE_DEP_NO_CLEAN,RULE_DEP_NO_CLEAN;RULE_METAL_ETCH_NO_LITHO;RULE_ETCH_NO_MASK;RULE_LITHO_LEVEL_SKIP;RULE_IMPLANT_NO_MASK;RULE_CMP_NO_DEP;RULE_PAD_OPEN_BEFORE_DEP;RULE_BACKSIDE_BEFORE_PASSIVATION
