EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0001,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT PASSIVATION LAYER,DEPOSIT BARRIER METAL,MEASURE SURFACE DEFECTS
valid_0002,CLEAN PAD OPENING,CLEAN AFTER VIA ETCH,CLEAN AFTER WINDOW ETCH,CLEAN AFTER METAL ETCH,BACKSIDE ETCH CLEAN
valid_0003,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SWITCHING TEST,DRY WAFER BACKSIDE
valid_0004,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,METAL PATTERN INSPECTION,METAL ETCH
valid_0005,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DRY WAFER BACKSIDE,INSPECT PATTERN LEVEL 1
valid_0006,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,FRONTSIDE CLEAN FINAL,DEVELOP PAD WINDOW,BACKSIDE ANNEAL
valid_0007,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SWITCHING TEST,OPEN PAD WINDOW LITHO
valid_0008,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,CLEAN PAD OPENING,STRIP RESIST
valid_0009,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,THERMAL OXIDATION
valid_0010,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
valid_0011,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SWITCHING TEST,OPEN PAD WINDOW LITHO
valid_0012,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,CLEAN PAD OPENING,VIA OPENING INSPECTION
valid_0013,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,SWITCHING TEST,THERMAL OXIDATION
valid_0014,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
valid_0015,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0016,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH PAD OPENING,BACKSIDE CLEAN,STRIP RESIST LEVEL 2
valid_0017,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER METAL ETCH,VIA INSPECTION
valid_0018,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,METAL PATTERN INSPECTION,MEASURE THICKNESS
valid_0019,DEPOSIT BARRIER METAL,MEASURE VIA CD,SWITCHING TEST,HARD BAKE,FINAL GEOMETRY CHECK
valid_0020,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,PASSIVATION ETCH PAD OPENING
valid_0021,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH
valid_0022,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,EXPOSE LITHO LEVEL 4,POLYSILICON ANNEAL
valid_0023,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,VIA ETCH THROUGH DIELECTRIC,STRIP RESIST
valid_0024,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,STRIP PHOTORESIST,DEVELOP PAD WINDOW,STRIP RESIST
valid_0025,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,ANNEAL OXIDE
valid_0026,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,OPEN PAD WINDOW LITHO,POST EXPOSE BAKE,MEASURE PASSIVATION THICKNESS
valid_0027,STRIP RESIST,STRIP PHOTORESIST,DIELECTRIC ETCH VIA,FRONTSIDE CLEAN,PRE ANNEAL CHECK
valid_0028,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,DEPOSIT BARRIER METAL,MEASURE SURFACE PLANARITY,DEVELOP PAD WINDOW
valid_0029,STRIP RESIST,STRIP PHOTORESIST,VIA ETCH THROUGH DIELECTRIC,DEVELOP PHOTORESIST,STRIP RESIST LEVEL 2
valid_0030,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,VIA ETCH THROUGH DIELECTRIC
valid_0031,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,DRY WAFER BACKSIDE
valid_0032,STRIP RESIST,STRIP PHOTORESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
valid_0033,FILL VIA METAL,PARAMETRIC TEST,DEPOSIT METAL SEED,DEPOSIT PASSIVATION LAYER,WET CLEAN RCA1
valid_0034,STRIP PHOTORESIST,STRIP RESIST,BACKSIDE CLEAN,MEASURE SPACER WIDTH,DENSIFY DIELECTRIC
valid_0035,DEPOSIT BARRIER METAL,MEASURE VIA CD,HARD BAKE,ANISOTROPIC ETCH SPACER,PAD WINDOW LITHO
valid_0036,CLEAN PAD OPENING,CLEAN AFTER METAL ETCH,BACKSIDE ETCH CLEAN,METAL ETCH,ETCH WET BACKSIDE
valid_0037,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 3,DRY WAFER BACKSIDE
valid_0038,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH,DENSIFY DIELECTRIC,FIELD OXIDE ETCH
valid_0039,CMP VIA FILL,CMP METAL,FILL VIA METAL,DEVELOP PHOTORESIST,STRIP PHOTORESIST
valid_0040,MEASURE PAD OPENING,CLEAN PAD OPENING,MEASURE SHEET RESISTANCE,MEASURE SURFACE PARTICLES,SWITCHING TEST
