SEQUENCE_ID,STEP_INDEX,STEP
dev_mosfet_seq_0303_t60,0,RECEIVE WAFER LOT
dev_mosfet_seq_0303_t60,1,LOT IDENTIFICATION
dev_mosfet_seq_0303_t60,2,PRE CLEAN INSPECTION
dev_mosfet_seq_0303_t60,3,MEASURE THICKNESS
dev_mosfet_seq_0303_t60,4,PRE CLEAN WAFER
dev_mosfet_seq_0303_t60,5,FRONTSIDE CLEAN
dev_mosfet_seq_0303_t60,6,WET CLEAN RCA1
dev_mosfet_seq_0303_t60,7,WET CLEAN RCA2
dev_mosfet_seq_0303_t60,8,HF DIP
dev_mosfet_seq_0303_t60,9,DRY WAFER
dev_mosfet_seq_0303_t60,10,SUBSTRATE CHECK
dev_mosfet_seq_0303_t60,11,EPITAXY PREP
dev_mosfet_seq_0303_t60,12,EPITAXIAL DEPOSITION
dev_mosfet_seq_0303_t60,13,MEASURE EPITAXY THICKNESS
dev_mosfet_seq_0303_t60,14,MEASURE RESISTIVITY
dev_mosfet_seq_0303_t60,15,EPITAXY ANNEAL
dev_mosfet_seq_0303_t60,16,WAFER SURFACE CLEAN
dev_mosfet_seq_0303_t60,17,THERMAL OXIDATION
dev_mosfet_seq_0303_t60,18,MEASURE OXIDE THICKNESS
dev_mosfet_seq_0303_t60,19,SPIN COAT PHOTORESIST
dev_mosfet_seq_0303_t60,20,SOFT BAKE
dev_mosfet_seq_0303_t60,21,ALIGN MASK LEVEL 1
dev_mosfet_seq_0303_t60,22,EXPOSE LITHO LEVEL 1
dev_mosfet_seq_0303_t60,23,DEVELOP PHOTORESIST
dev_mosfet_seq_0303_t60,24,PATTERN INSPECTION LEVEL 1
dev_mosfet_seq_0303_t60,25,OXIDE ETCH
dev_mosfet_seq_0303_t60,26,STRIP RESIST
dev_mosfet_seq_0303_t60,27,CLEAN AFTER ETCH
dev_mosfet_seq_0303_t60,28,MEASURE OPENING CD
dev_mosfet_seq_0303_t60,29,IMPLANT WELL
dev_mosfet_seq_0303_t60,30,DRIVE IN DIFFUSION
dev_mosfet_seq_0303_t60,31,RAPID THERMAL ANNEAL
dev_mosfet_seq_0303_t60,32,THERMAL OXIDATION
dev_mosfet_seq_0303_t60,33,GATE OXIDE PREP
dev_mosfet_seq_0303_t60,34,GATE OXIDE GROWTH
dev_mosfet_seq_0303_t60,35,MEASURE GATE OXIDE THICKNESS
dev_mosfet_seq_0303_t60,36,DEPOSIT POLYSILICON
dev_mosfet_seq_0303_t60,37,POLYSILICON ANNEAL
dev_mosfet_seq_0303_t60,38,MEASURE POLY THICKNESS
dev_mosfet_seq_0303_t60,39,SPIN COAT PHOTORESIST
dev_mosfet_seq_0303_t60,40,SOFT BAKE
dev_mosfet_seq_0303_t60,41,ALIGN MASK LEVEL 2
