SEQUENCE_ID,RANK,STEP
dev_mosfet_seq_0303_t60,1,CURE PASSIVATION
dev_mosfet_seq_0303_t60,2,DEVELOP PHOTORESIST
dev_mosfet_seq_0303_t60,3,SPIN COAT PHOTORESIST
dev_mosfet_seq_0303_t60,4,DIELECTRIC ETCH VIA
dev_mosfet_seq_0303_t60,5,BACKSIDE ANNEAL
dev_mosfet_seq_0303_t80,1,SOFT BAKE
dev_mosfet_seq_0303_t80,2,CURE PASSIVATION
dev_mosfet_seq_0303_t80,3,DEVELOP PHOTORESIST
dev_mosfet_seq_0303_t80,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0303_t80,5,POST EXPOSE BAKE
dev_mosfet_seq_0222_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0222_t60,2,BACKSIDE ANNEAL
dev_mosfet_seq_0222_t60,3,CURE PASSIVATION
dev_mosfet_seq_0222_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0222_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0222_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0222_t80,2,OPEN BOND PAD WINDOW
dev_mosfet_seq_0222_t80,3,CURE PASSIVATION
dev_mosfet_seq_0222_t80,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0222_t80,5,SOFT BAKE
dev_mosfet_seq_0842_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0842_t60,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0842_t60,3,CURE PASSIVATION
dev_mosfet_seq_0842_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0842_t60,5,STRIP RESIST
dev_mosfet_seq_0842_t80,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0842_t80,2,CURE PASSIVATION
dev_mosfet_seq_0842_t80,3,SOFT BAKE
dev_mosfet_seq_0842_t80,4,BACKSIDE ANNEAL
dev_mosfet_seq_0842_t80,5,DIELECTRIC ETCH VIA
dev_mosfet_seq_0087_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0087_t60,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0087_t60,3,CURE PASSIVATION
dev_mosfet_seq_0087_t60,4,BACKSIDE ANNEAL
dev_mosfet_seq_0087_t60,5,STRIP RESIST
dev_mosfet_seq_0087_t80,1,CURE PASSIVATION
dev_mosfet_seq_0087_t80,2,DIELECTRIC ETCH VIA
dev_mosfet_seq_0087_t80,3,BACKSIDE ANNEAL
dev_mosfet_seq_0087_t80,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0087_t80,5,OPEN BOND PAD WINDOW
dev_mosfet_seq_0451_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0451_t60,2,CURE PASSIVATION
dev_mosfet_seq_0451_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0451_t60,4,SPIN COAT PHOTORESIST
dev_mosfet_seq_0451_t60,5,DEPOSIT POLYSILICON
dev_mosfet_seq_0451_t80,1,BACKSIDE ANNEAL
dev_mosfet_seq_0451_t80,2,OPEN BOND PAD WINDOW
dev_mosfet_seq_0451_t80,3,CURE PASSIVATION
dev_mosfet_seq_0451_t80,4,DEVELOP PHOTORESIST
dev_mosfet_seq_0451_t80,5,SOFT BAKE
dev_mosfet_seq_0796_t60,1,DEVELOP PHOTORESIST
dev_mosfet_seq_0796_t60,2,CURE PASSIVATION
dev_mosfet_seq_0796_t60,3,BACKSIDE ANNEAL
dev_mosfet_seq_0796_t60,4,SPIN COAT PHOTORESIST
